20
Jefferson County
-98.6516270000 33.0649310027
-98.6964420000 33.0301544803
-98.7118000000 33.0391174772
-98.6959690000 33.1086742924
-98.7240830000 33.1098225215
-98.7374040000 33.1368890532
-98.7525560000 33.0846286760
-98.7771380000 33.0741146905
-98.7732240000 33.1146569322
-98.8464890000 33.1135508340
-98.8695220000 33.1513355462
-98.9279330000 33.1419461645
-98.9398040000 33.1694004379
-98.9659190000 33.1421020420
-98.9647220000 33.1630572839
-98.9944000000 33.1784920324
-98.9916080000 33.1998540879
-99.0175090000 33.1828241401
-99.0405500000 33.2073943542
-99.0617070000 33.1759268486
-99.0906220000 33.1724730899
-99.0923160000 32.5647330233
-99.0848770000 32.5425152746
-98.9646150000 32.5418438447
-98.4457860000 32.5419254419
48
15
-98.9530490000 35.9915553005
-98.4235840000 35.9937138679
-98.4222560000 36.2915553177
-98.4870000000 36.2672206613
-98.5609740000 36.3417858197
-98.5519790000 36.3518368174
-98.6016080000 36.3850979360
-98.6485670000 36.3896105964
-98.6905980000 36.3518646039
-98.7507630000 36.3412832957
-98.8317790000 36.3869602604
-98.8681180000 36.3719961573
-98.8729250000 36.3924785478
-98.9523930000 36.4479849995
-98.9530490000 35.9915553005
48
30
-94.4522860000 33.6229284108
-94.4240720000 33.5707834552
-94.4321520000 33.5408920333
-94.4124530000 33.5070011800
-94.4164280000 33.4601340177
-94.3989330000 33.3986708078
-94.0982060000 33.3607584349
-93.9844590000 33.2998475759
-93.8967210000 33.3495392336
-93.8349230000 33.3195557736
-93.8391270000 33.3399015510
-93.8195800000 33.3523245506
-93.8120040000 33.3909587704
-93.8265000000 33.4133751139
-93.7945480000 33.4556569212
-93.8152770000 33.4620758348
-93.8362960000 33.5113816048
-93.8231350000 33.5379748596
-93.8389360000 33.5698198087
-93.8719480000 33.5871938192
-93.9006200000 33.6847575719
-93.9242020000 33.6731857690
-93.9322050000 33.6799202314
-93.9216160000 33.6936542718
-93.9708250000 33.7120589648
-94.0156330000 33.7826437911
-94.5114290000 33.7757213974
-94.5106740000 33.7155958323
-94.4805150000 33.6908213363
-94.4522860000 33.6229284108
48
9
-101.2676320000 33.2846386543
-100.8679120000 33.2914242552
-100.8613280000 33.4508462162
-100.8253710000 33.4486989214
-100.8215940000 33.9085703170
-101.1839980000 33.9092773158
-101.2642140000 33.9091911537
-101.2671200000 33.3954684547
-101.2676320000 33.2846386543
48
8
-103.0643460000 33.9090920084
-103.0643690000 33.8308004044
-103.0644230000 33.8070065479
-103.3265000000 33.8068308494
