20
Wagoner County
-95.3494340000 37.4405570534
-95.3610530000 37.4406730686
-95.5076520000 37.4397229690
-95.5145110000 37.0162802162
40
28
-95.0499340000 37.9665684144
-95.1203770000 37.8608525695
-95.1613920000 37.8555191564
-95.1414790000 37.8407050826
-95.1795200000 37.8276978455
-95.1707840000 37.7818716427
-95.1962510000 37.7773524356
-95.2269970000 37.7331515295
-95.2557220000 37.7291893558
-95.3001480000 37.7730331583
-95.3446500000 37.7632312410
-95.3875500000 37.8047710636
-95.4512480000 37.7668125042
-95.4549560000 37.6009028256
-95.3658520000 37.6005383190
-95.3493500000 37.6006594133
-95.3494110000 37.4759540553
-94.9278640000 37.4759491687
-94.9263000000 37.6523593538
-94.8142850000 37.6560149464
-94.8136290000 37.8002961609
-94.8421400000 37.8588265990
-94.9194870000 37.8351385753
-94.8923030000 37.8693628344
-94.8994750000 37.8888978808
-95.0065080000 37.9122049039
-95.0254360000 37.9598199839
-95.0499340000 37.9665684144
40
16
-98.0959630000 37.8669724296
-98.0926440000 37.2278261686
-98.0890730000 37.0162388704
-97.6684340000 37.0165209954
-97.6679990000 37.2280918277
-97.6715930000 37.8157269100
-97.7389140000 37.8017411978
-97.7746890000 37.8236853062
-97.8433760000 37.8134309605
-97.8700180000 37.8481185867
-97.8974690000 37.8276561623
-97.9427720000 37.8663641059
-97.9609680000 37.8303214696
-98.0122380000 37.8530493770
-98.0174640000 37.8714638382
-98.0959630000 37.8669724296
40
20
-97.6715470000 37.8170410066
-97.6712190000 37.8663959938
-97.6739200000 38.2950249533
-98.2071610000 38.2939828544
-98.3133770000 38.2937328015
-98.3132480000 38.0803532810
-98.3063740000 37.8826466388
-98.3063740000 37.8662978774
-98.0959630000 37.8669724296
-98.0174640000 37.8714638382
-98.0122380000 37.8530493770
-97.9609680000 37.8303214696
-97.9427720000 37.8663641059
-97.8974690000 37.8276561623
-97.8700180000 37.8481185867
-97.8433760000 37.8134309605
-97.7746890000 37.8236853062
-97.7389140000 37.8017411978
-97.6715930000 37.8157269100
-97.6715470000 37.8170410066
40
28
-98.1390690000 36.3626125375
-98.1389470000 36.5414812682
-98.1421430000 36.8047882280
-98.2440410000 36.8003626578
-98.2488780000 36.7522557184
